,Filename,Comment,Num Comments Tokens,Num Program Domain,Num Problem Domain,Operational,Conditional,Prog. Dom. Identifier Matches,Prob. Dom. Identifier Matches,Scope score,Build details,Author Details,Junk/Copy,Description of Dataset,Working Summary,Design And Development,Exception,Build Instruction,Commits and Bugs,AST Symbols,Comment Placement,POS Tags Score,Actual,Predicted
8,PLplot/src/plargs.c/plargs.c,# bytes sent before flushing output,2.85,1.25,0.05,0.23,1.25,0.05,0.05,0.41,0.05,0.05,0.05,1.5000000905000002,2.000000282,6.0980586323,1.0000001049,0.0,0.0,0.0,2,-0.30905223,2,2
22,PLplot/src/plargs.c/plargs.c,"Just in case plparseopts has been called previously (e.g., with PL_PARSE_NODELETE).",4.95,0.05,0.05,0.23,0.05,0.05,0.05,0.41,0.05,0.05,0.05,2.000000282,4.0000001946,4.6999227657,2.000000282,0.0,0.0,0.0,2,0.07832071,2,2
25,PLplot/src/plsym.c/plsym.c,"--------------------------------------------------------------------------
void plgfont()

Get the family, style and weight of the current font.
This is a user-friendly front-end to plgfci.
Note: A NULL pointer signifies that this value should not be returned.
--------------------------------------------------------------------------",13.35,6.05,0.05,2.57,0.05,0.05,0.05,0.41,0.05,0.05,0.05,2.5000000695,4.999976525899999,20.0,2.000000282,0.5000000162,0.0,0.0,2,0.3399227,2,2
26,PLplot/src/plsym.c/plsym.c,"--------------------------------------------------------------------------
void plptex3()

Prints out ""text"" at world cooordinate (wx,wy,wz).

The text is drawn parallel to the line between (wx,wy,wz) and
(wx+dx,wy+dy,wz+dz).

The text is sheared so that it is ""vertically"" parallel to the
line between (wx,wy,wz) and (wx+sx, wy+sy, wz+sz). If sx=sy=sz=0 then
the text is simply rotated to parallel to the baseline.

""just"" adjusts the horizontal justification of the string:
just = 0.0 => left hand edge of string is at (wx,wy)
just = 1.0 => right hand edge of string is at (wx,wy)
just = 0.5 => center of string is at (wx,wy) etc.

Calculations are done in physical coordinates.

--------------------------------------------------------------------------",55.35,15.65,3.25,6.53,0.05,0.05,0.05,0.41,0.05,0.05,0.05,7.5097415311,20.0,20.0,1.0000001049,0.5000000162,1.5000000905000002,0.46211717,2,0.99882966,1,1
32,PLplot/src/plshade.c/plshade.c,alloc space for condition codes,3.55,2.45,0.05,0.23,0.05,0.05,0.05,0.41,0.05,0.05,0.05,3.5000006561,2.5000000695,4.0000001946,2.5000000695,0.0,0.0,0.0,2,-0.28110683,0,0
38,PLplot/src/plstripc.c/plstripc.c,Array of pointers,1.45,1.25,0.05,0.23,0.05,0.05,0.05,0.41,0.05,0.05,0.05,1.0000001049,0.0,2.9000027124,1.5000000905000002,0.0,0.0,0.0,2,-0.38960853,2,2
39,PLplot/src/plvect.c/plvect.c,"Unnecessarily initialize a_y to quiet a -O1 -Wuninitialized warning
which is a false alarm.  (If something goes wrong with the
a_x malloc below any further use of a_y does not occur.)",12.65,2.45,0.05,3.47,0.05,0.05,0.05,0.41,0.05,0.05,0.05,5.9995261631,7.5097415311,7.307008902100001,3.0000046942000003,0.0,0.0,0.7615941999999999,2,0.39290658,2,2
47,PLplot/src/plargs.c/plargs.c,"--------------------------------------------------------------------------
Option handlers
--------------------------------------------------------------------------",2.85,0.05,0.05,0.59,0.05,0.05,0.05,0.41,0.05,0.05,0.05,0.0,0.0,0.6000000464,1.0000001049,0.5000000162,0.0,0.0,2,-0.38960853,1,1
50,PLplot/src/plvpor.c/plvpor.c,adjust for labels,2.15,0.05,0.05,1.67,0.05,0.05,0.05,0.41,0.05,0.05,0.05,2.5000000695,3.0000046942000003,3.0000046942000003,0.0,0.0,0.0,0.0,2,-0.38960853,2,2
62,PLplot/src/plline.c/plline.c,"--------------------------------------------------------------------------
int plP_clipline()

Get clipped endpoints
--------------------------------------------------------------------------",4.95,1.25,0.05,2.21,0.05,0.05,0.05,0.41,0.05,0.05,0.05,0.5000000162,1.0000001049,1.799999876,0.5000000162,0.5000000162,0.0,0.0,2,-0.16490872,1,2
