COMMENT,Op/Desc,Metdata
"Written by Joseph O'Rourke.
   Graham's algorithm for hull of 2-dim points.
   See ""Computational Geometry in C.""","d, d, d",
Dimension of points,d,root: dimension(NNP)
type integer point,d,root: type(NN)
type double point,d,root: type(NN)
Max # of pts in polygon,d,root: Max (NNP)
type integer polygon,d,root: type(NN)
----------from tri.c-------------,d,root: from(PP)
----------from tri.c-------------,d,root: from(PP)
global so compare can access it.,d,
base: pointer to 1st elem,d,
count: # of elems,d,
size of each elem,d,
"-1,0,+1 compare fnc",d,
"FindLowest finds the rightmost lowest point and swaps with 0-th.
        The lowest point has the min y-coord, and amongst those, the
        max x-coord: so it is rightmost among the lowest.","o, d",
Index of lowest so far.,d,root: Index(NNP)
To hold point when swapping.,o,
swap,o/d,root: swap(NN)
"Compare: returns -1,0,+1 if p1 < p2, =, or > respectively;
        here ""<"" means smaller angle.  Follows the conventions of qsort.","o, d",
area,d,
ri = pi - p0,d,
length of r1 & r2,d,
"Get a cell, fill it with i, and push it onto the stack.
        Return pointer to stack top.",o,
Performs the Graham scan on an array of angularly sorted points P.,o,
"Initialize stack to (P[n-1], P[0]).",o,
Bottom two elements will never be removed.,o,
"P[n-1] pushed twice, so pop it off.",o,
"inpoly.c
	Written by Joseph O'Rourke
	orourke@sophia.smith.edu",d,
Dimension of points,d,
type integer point,d,
type double point,d,
Max # of pts in polygon,d,
type integer polygon,d,
Last point is the point q,d,
Returns true if q is inside polygon P.,o,
point index; i1 = i-1 mod n,"d, d",
dimension index,d,
x intersection of e with ray,d,
number of edge/ray crossings,d,
Shift so that q is the origin.,o,
"For each edge e=(i-1,i), see if crosses ray.",o,
if e straddles the x-axis...,o/d,
"e straddles ray, so compute intersection with ray.",o,
crosses ray if strictly positive intersection.,,
q inside if an odd number of crossings.,,
"Reads in the coordinates of the vertices of a polygon from stdin,
        puts them into P, and returns n, the number of vertices.
        Formatting conventions: etc.","o, o, o, d",
"arm.c
        Prints out one arm configuration to reach given target.
        Assumes number of links >= 3.","d, o, d",
Dimension of points,d,
type integer point,d,
type double point,d,
link lengths,d,
number of links,d,
target point,d,
index of median link,d,
length of links between kinks,d,
total length of all links,d,
floor of half of total,d,
Compute total & half length.,o,root: Compute(verb)
Find median link.,o,
coords of kinked joint returned by Solve2,d,
Joint1 on x-axis,d,
translated target,d,
pin J0 to 0.,o,
Shift so J1 is origin.,o,
Shift solution back to origin.,o,
center of circle 1,d,
"# of solns: 0,1,2,3(infinite)","d, d",
"TwoCircles finds the intersection points between two circles.
        This is the general routine, no assumptions.
        One intersection point is placed in p.","d, d, o",
