"Comment","Code Output","Manual pred."
"COMMENT","Op/Desc","COMMENT : d
"
"Written by Joseph O'Rourke.
   Graham's algorithm for hull of 2-dim points.
   See ""Computational Geometry in C.""","d, d, d","Written by Joseph O'Rourke. : d
   Graham's algorithm for hull of 2-dim points. : o
   See ""Computational Geometry in C."" : o
"
"Dimension of points","d","Dimension of points : d
"
"type integer point","d","type integer point : o
"
"type double point","d","type double point : d
"
"Max # of pts in polygon","d","Max # of pts in polygon : d
"
"type integer polygon","d","type integer polygon : d
"
"----------from tri.c-------------","d","----------from tri.c------------- : o
"
"----------from tri.c-------------","d","----------from tri.c------------- : o
"
"global so compare can access it.","d","global so compare can access it. : o
"
"base: pointer to 1st elem","d","base: pointer to 1st elem : d
"
"count: # of elems","d","count: # of elems : d
"
"size of each elem","d","size of each elem : d
"
"-1,0,+1 compare fnc","d","-1,0,+1 compare fnc : d
"
"FindLowest finds the rightmost lowest point and swaps with 0-th.
        The lowest point has the min y-coord, and amongst those, the
        max x-coord: so it is rightmost among the lowest.","o, d","FindLowest finds the rightmost lowest point and swaps with 0-th. : o
        The lowest point has the min y-coord, and amongst those, the : o
        max x-coord: so it is rightmost among the lowest. : d
"
"Index of lowest so far.","d","Index of lowest so far. : d
"
"To hold point when swapping.","o","To hold point when swapping. : o
"
"swap","o/d","swap : d
"
"Compare: returns -1,0,+1 if p1 < p2, =, or > respectively;
        here ""<"" means smaller angle.  Follows the conventions of qsort.","o, d","Compare: returns -1,0,+1 if p1 < p2, =, or > respectively : o
 : e
        here ""<"" means smaller angle.  Follows the conventions of qsort. : d
"
"area","d","area : d
"
"ri = pi - p0","d","ri = pi - p0 : d
"
"length of r1 & r2","d","length of r1 & r2 : d
"
"Get a cell, fill it with i, and push it onto the stack.
        Return pointer to stack top.","o","Get a cell, fill it with i, and push it onto the stack. : o
        Return pointer to stack top. : o
"
"Performs the Graham scan on an array of angularly sorted points P.","o","Performs the Graham scan on an array of angularly sorted points P. : d
"
"Initialize stack to (P[n-1], P[0]).","o","Initialize stack to (P[n-1], P[0]). : o
"
"Bottom two elements will never be removed.","o","Bottom two elements will never be removed. : o
"
"P[n-1] pushed twice, so pop it off.","o","P[n-1] pushed twice, so pop it off. : o
"
"inpoly.c
	Written by Joseph O'Rourke
	orourke@sophia.smith.edu","d","inpoly.c : d
	Written by Joseph O'Rourke : d
	orourke@sophia.smith.edu : d
"
"Dimension of points","d","Dimension of points : d
"
"type integer point","d","type integer point : o
"
"type double point","d","type double point : d
"
"Max # of pts in polygon","d","Max # of pts in polygon : d
"
"type integer polygon","d","type integer polygon : d
"
"Last point is the point q","d","Last point is the point q : d
"
"Returns true if q is inside polygon P.","o","Returns true if q is inside polygon P. : d
"
"point index; i1 = i-1 mod n","d, d","point index : d
 i1 = i-1 mod n : o
"
"dimension index","d","dimension index : d
"
"x intersection of e with ray","d","x intersection of e with ray : d
"
